address,name,body_size,prior_level,verdict,verdict_tag,port_location,evidence,source,audit_date
0040a6c0,SinFloat12bit,21,5,FAITHFUL,,td5_render.c:5095,"orig (sinTable)[(angle-0x400)&0xfff]; port mirrors via cosFloatTable[((angle+0xfffffc00u)&0xfff)] (sin via cos offset). Pilot-trig emit is instrumentation only.",AGENT,2026-05-24
0040a6e0,CosFixed12bit,16,5,FAITHFUL,,td5_render.c:5108,"orig returns (g_sinCosLut_fixed12)[angle&0xfff]; port s_cosFixedTable[angle&0xfffu] identical LUT semantics with ensure_lut init guard.",AGENT,2026-05-24
0040a700,SinFixed12bit,21,5,FAITHFUL,,td5_render.c:5113,"orig (g_sinCosLut_fixed12)[(angle-0x400)&0xfff]; port s_cosFixedTable[((angle+0xfffffc00u)&0xfff)] = sin via cos offset. Byte-faithful.",AGENT,2026-05-24
0040a720,AngleFromVector12,341,5,FAITHFUL,,td5_render.c:5204,"Literal octant-by-octant port of orig atan2-12bit LUT at DAT_00463214; LUT 1026 entries (incl past-end idx 1024=0x200,1025=0x0) mirrored. Returns 12-bit CW angle.",AGENT,2026-05-24
0040a880,ResetRaceResultsTable,50,5,INTENTIONAL,SAVE_FORMAT,td5_game.c:4213,"Port reset_results_table() memsets s_results to 0 then sets [0].slot_flags=1. Orig also primes byte[1]=entry_idx but build_results_table overwrites slot_index before any reader; behavior-equivalent end state. Documented divergence (td5_game.c:198 header).",AGENT,2026-05-24
0040b1d0,BuildTrackTextureCacheImpl,839,4,INTENTIONAL,D3D11_BACKEND,td5_asset.c:2245,"port splits orig single fn into metadata-only pass (line 2199) + GPU-upload-deferred load_race_texture_pages; palette-decode + type 0/1/2/3 dispatch preserved; D3D11 backend replaces DXD3DTexture::ClearAll/DX::Allocate",AGENT,2026-05-24
0040b530,SwapIndexedRuntimeEntries,68,4,INTENTIONAL,D3D11_BACKEND,td5_asset.c:2099,"port tagged ARCH-DIVERGENCE @ 0x0040B530 — orig swaps two parallel tables (4-byte + 8-byte descriptor); port collapses to single s_page_remap swap (no D3D11 descriptor cache)",AGENT,2026-05-24
0040b580,SetRaceTexturePageLoader,13,5,NOT_PORTED,D3D11_BACKEND,td5_game.c:156,"orig is 13-byte fn-pointer setter (Set_exref+0xC); port calls LoadRaceTexturePages directly (no indirect dispatch); ARCH-DIVERGENCE comment confirms no port equivalent needed",AGENT,2026-05-24
0040b590,UploadRaceTexturePage,204,4,INTENTIONAL,D3D11_BACKEND,td5_asset.c:381,"port tagged ARCH-DIVERGENCE @ 0x0040B590 — D3D3 DXD3DTexture::LoadRGBS24/32 replaced with td5_plat_render_upload_texture into D3D11 SRVs; slot-4 alpha rebake preserved at lines 469-475",AGENT,2026-05-24
0040b660,BindRaceTexturePage,438,5,INTENTIONAL,D3D11_BACKEND,td5_render.c:2808,"port td5_render_bind_texture_page preserves type 0/1/2/3 dispatch via apply_page_blend_preset (type 3 ADDITIVE, type 2 TRANSLUCENT_ANISO, type 0/1 OPAQUE_LINEAR); DDraw vtable replaced with preset enums",AGENT,2026-05-24
0040af10,ConfigureRaceFogColorAndMode,60,4,INTENTIONAL,D3D11_BACKEND,td5_render.c:1292,"orig probes DXD3D::CanFog() and writes d3d_exref+0x18/+0xa34; port td5_render_configure_fog drops CanFog gate (D3D11 universally supports fog) but preserves color&0xFFFFFF mask",AGENT,2026-05-24
0040af50,ApplyRaceFogRenderState,287,4,INTENTIONAL,D3D11_BACKEND,td5_render.c:1273,"orig issues 6 IDirect3DDevice SetRenderState calls (0x1c FOGENABLE + 0x22-0x26 + final 0x1c=1) with DXErrorToString/Msg fallbacks; port routes via single td5_plat_render_set_fog",AGENT,2026-05-24
0040b070,SetRaceRenderStatePreset,122,5,INTENTIONAL,D3D11_BACKEND,td5_render.c:6020,"orig 4-case D3D3 SetRenderState (states 0x17 texture filter + 0xe alpha-blend); port td5_render_set_race_pass maps to TD5_PRESET_OPAQUE_ANISO/TRANSLUCENT_LINEAR/OPAQUE_LINEAR via D3D11 wrapper",AGENT,2026-05-24
0040b100,BuildEnumeratedDisplayModeList,108,3,INTENTIONAL,D3D11_BACKEND,td5_frontend.c:2035,"orig walks DXDraw dd_exref+0x34 mode table in 0x14-byte rows filtered on +0x10; port frontend_init_display_mode_state uses td5_plat_enum_display_modes (DXGI) — DDraw table doesn't exist under D3D11",AGENT,2026-05-24
0040b170,SelectConfiguredDisplayModeSlot,72,3,INTENTIONAL,D3D11_BACKEND,td5_frontend.c:2056,"orig indexes DXDraw dd_exref+0x44 entries to set +0x1694 against gSelectedDisplayModeOrdinal; port uses td5_save_get_display_mode + s_display_mode_index against DXGI-enumerated list (slot-index contract preserved)",AGENT,2026-05-24
0040a480,InitializeRaceCameraTransitionDuration,10,3,INTENTIONAL,ARCH_DIVERGENCE,td5_game.c:3340,"orig writes 0xA000 + 3 sibling fields at g_raceParticlePoolBase[0x1f6]; port inlines as g_cameraTransitionActive=TD5_COUNTDOWN_INIT in reset_race_countdown; static init at td5_camera.c:117 covers equivalent state",AGENT,2026-05-24
0040a490,UpdateRaceCameraTransitionTimer,157,5,INTENTIONAL,ARCH_DIVERGENCE,td5_game.c:3390,"port tick_race_countdown same-shape state machine; audit comment documents 3 deltas (Delta A ResetRaceCameraSelectionState call unwired = TODO, Deltas B/C are paused-flip timing + indicator gating)",AGENT,2026-05-24
0040a530,AdjustCheckpointTimersByDifficulty,274,5,FAITHFUL,,td5_game.c:4083,"port adjust_checkpoint_timers byte-equivalent — tier 0 *12/10, tier 1 *11/10 scaling + actor field clears match orig 0x0040A530; CHECKPOINT_CIRCUIT_GATE applies at caller td5_game.c:2120 only",AGENT,2026-05-24
0040a650,BuildSinCosLookupTables,76,5,INTENTIONAL,FPU_PC64_FWRAPV,td5_render.c:5033,"orig builds LUT via FCOS in 80-bit x87; port td5_trig_build_lut loads embedded byte-exact LUT (td5_trig_lut_bits[]) extracted from running orig via frida_pool3_trig_dump.js; result byte-identical",AGENT,2026-05-24
0040a6a0,CosFloat12bit,16,5,FAITHFUL,,td5_render.c:5080,"port CosFloat12bit reads s_cosFloatTable[angle & 0xFFF]; matches orig 4-instr listing (AND 0xfff; FLD float[base+idx*4]); LUT byte-equal per BuildSinCosLookupTables note",AGENT,2026-05-24
0040b830,AdvanceTextureStreamingScheduler,441,4,NOT_PORTED,D3D11_BACKEND,,"orig on-demand texture-page streaming scheduler (LRU-evict + DXD3DTexture::LoadRGB + retry); port loads all level textures upfront in td5_asset_load_track_texture_set per ARCH-DIVERGENCE note at td5_asset.c:3043-3050",AGENT,2026-05-24
0040b9f0,GetTextureSlotStatus,31,5,NOT_PORTED,D3D11_BACKEND,,"orig returns per-page status byte (g_textureCacheRuntimeCount[3]+7+id*8) for D3D3 primitive-opcode rewrite in PrepareMeshResource; port td5_render.c has no readers of s_texture_cache[].status — D3D3 opcode-tag pass folded away per td5_track.c:5535-5547",AGENT,2026-05-24
0040ba10,AdvanceTexturePageUsageAges,75,4,FAITHFUL,,td5_render.c:2752,"port td5_render_advance_texture_ages mirrors orig LRU sweep — used→age=0+clear flag else age++ with 0xFF saturate; struct-array vs raw-byte traversal is semantic-preserving refactor (L5 confirmed at 2026-05-21)",AGENT,2026-05-24
0040ba60,ResetTexturePageCacheState,63,4,FAITHFUL,,td5_render.c:2729,"port td5_render_reset_texture_cache mirrors orig dual-loop reset (status+age byte zero + page-id array zero); struct vs raw-byte reshape preserves semantics; port adds explicit current/previous-page=-1 invalidation done by orig in BeginRaceScene instead",AGENT,2026-05-24
0040baa0,QueryRaceTextureCapacity,62,4,INTENTIONAL,D3D11_BACKEND,td5_render.c:1146,"orig DXD3D::GetMaxTextures(0x40)=64 cap stored in DAT_0048DC40+0x10 + g_appExref+0xDC + AGP-usage log; port abstracts via D3D11 wrapper with TEXTURE_CACHE_SLOTS=600 (td5_types.h:115) and logs at td5_render_init",AGENT,2026-05-24
004092d0,RenderVehicleActorModel,587,3,NOT_PORTED,RECOVERY_MODE_STUB,,"orig 0x4092D0 sole-caller IntegrateScriptedVehicleMotion (recovery vehicle_mode==1); port's partial recovery at td5_physics.c:1014-1065 explicitly omits this 4-wheel+4-corner xform/probe/contact-normal call. Citation-sweep header at td5_render.c:6175 marks 'density-match, verify in Phase 4' (not actually present)",AGENT,2026-05-24
00409520,CheckAndUpdateActorCollisionAlignment,392,3,NOT_PORTED,RECOVERY_MODE_STUB,,"orig 0x409520 sole-caller ComputeActorWorldBoundingVolume (recovery path); port has no equivalent. Citation header at td5_physics.c:9837 acknowledges missing port. AngleFromVector12/display_angle_pitch-roll alignment + ResetVehicleActorState gate not present",AGENT,2026-05-24
