"m2dx_address","function_name","plate_comment_text","evidence_source","confidence"
"0x10001ad0","DXD3D::ChangeDriver","Switch active D3D HAL/driver mid-session — calls Destroy() then Create() with new index. | port-side handling: Not ported; D3D11 has no equivalent driver-switching concept (uses DXGI adapter). | Wave3-O1A 2026-05-22","W1D","medium"
"0x10001d40","DXD3D::GetMaxTextures","Probe D3D3 device for max simultaneous texture stages (param: count requested). | port-side handling: td5_render.c:6165 mirrors orig 0x10001d40 storing result in DAT_0048DC40+0x10; port hardcodes D3D11 limits. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x10002170","DXD3D::FullScreen","Toggle exclusive fullscreen via IDirect3D3 + DDraw cooperative level. | port-side handling: ARCH-DIVERGENCE: orig's fullscreen restore-on-race-start path deferred (td5_game.c:722); port uses borderless windowed. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x100051b0","DXD3DTexture::Environment","Zeros texture-management state block (DXD3DTexture::Set + ::Texture globals). | port-side handling: Replaced by ddraw_wrapper texture pool init. | Wave3-O1A 2026-05-22","W1D","high"
"0x100051d0","DXD3DTexture::Create","Allocate a managed texture slot — wraps IDirect3DDevice3::CreateTexture + IDirectDrawSurface for video memory residency. | port-side handling: td5_asset.c handles texture upload to D3D11; port doesn't expose individual managed slots. | Wave3-O1A 2026-05-22","W1D","high"
"0x10005240","DXD3DTexture::Destroy","Release all managed textures + surfaces. | port-side handling: ddraw_wrapper texture pool teardown; port shutdown path. | Wave3-O1A 2026-05-22","W1D","high"
"0x10005270","DXD3DTexture::Load","Load texture from file (likely raw RGB/RGBA stream) into slot. | port-side handling: Honorable-mention deferred in W1D; texture path fully reimplemented in td5_asset.c TGA decode. | Wave3-O1A 2026-05-22","W1D","medium"
"0x100053e0","DXD3DTexture::LoadRGB","Load raw RGB pixel buffer into texture slot (8/16/24-bit variants depending on g_currentBitDepth). | port-side handling: Replaced by D3D11 texture upload in td5_asset.c. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10005480","DXD3DTexture::LoadRGBS24","Load 24-bit RGB stream (no alpha) into texture slot. | port-side handling: Replaced by td5_asset.c BGRA path; orig 24-bit BMP/TGA decoded by DX::Decode*ToScratchSurface. | Wave3-O1A 2026-05-22","W1D","medium"
"0x100054e0","DXD3DTexture::LoadRGBS32","Load 32-bit RGBA stream into texture slot. | port-side handling: Standard D3D11 upload via td5_asset.c TGA decoder. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10005550","DXD3DTexture::Manage","Trigger texture management pass — promotes/demotes textures between video and system memory based on usage. | port-side handling: D3D11 manages residency internally; port has no equivalent hook. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10005ba0","DXD3DTexture::GetMask","Return current alpha/colorkey mask bits for texture slot. | port-side handling: td5_asset.c uses BGRA colorkey-from-alpha path; no explicit GetMask consumer in port. | Wave3-O1A 2026-05-22","W1D","low"
"0x10005ea0","DXD3DTexture::LoseAll","Mark all managed textures as 'lost' (called when display mode changes or device is lost). | port-side handling: Replaced by D3D11 DEVICE_REMOVED handling in ddraw_wrapper; no equivalent invocation site in port. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10005f10","DXD3DTexture::RestoreAll","Reload all textures from source data after device-lost event. | port-side handling: Pairs with LoseAll; not ported (D3D11 manages this internally). | Wave3-O1A 2026-05-22","W1D","medium"
"0x10006010","DXD3DTexture::ClearAll","Release all texture slots and clear the slot table. | port-side handling: ddraw_wrapper texture pool teardown. | Wave3-O1A 2026-05-22","W1D","medium"
"0x100061e0","DXDraw::Environment","Zero DXDraw::dd state block + reset ScreenX/ScreenY/bChrOvrPrn flags. | port-side handling: Replaced by ddraw_wrapper init (D3D11 swap chain + surface pool). | Wave3-O1A 2026-05-22","W1D","high"
"0x100062a0","DXDraw::Create","DirectDrawCreateEx, set cooperative level (FULLSCREEN|EXCLUSIVE), create primary surface. | port-side handling: ddraw_wrapper Backend_CreateDevice creates D3D11 device + DXGI swap chain; td5_game.c:587. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x10006840","DXDraw::Destroy","Release all DDraw surfaces + IDirectDraw7 object. | port-side handling: ddraw_wrapper Backend_Shutdown. | Wave3-O1A 2026-05-22","W1D","high"
"0x10006930","DXDraw::ResetFrameRate","Reset FPS accumulator (DXDraw::FPSCaption/FPSName globals). | port-side handling: Port has internal FPS tracker (debug overlay); td5_hud.c minimap-corner FPS counter. | Wave3-O1A 2026-05-22","W1D","low"
"0x10006970","DXDraw::Pause","Pause render loop — suspend Flip calls. | port-side handling: Port pause path in main.c suspends the main loop while WM_ACTIVATE inactive. | Wave3-O1A 2026-05-22","W1D","low"
"0x100069e0","DXDraw::CalculateFrameRate","Per-frame FPS update — call after each Flip; updates FPSCaption string for window title. | port-side handling: Port FPS counter in main loop; debug-only output via td5re_log. | Wave3-O1A 2026-05-22","W1D","low"
"0x10006af0","DXDraw::Print","Draw text to back buffer using built-in 8x8 font (debug print). | port-side handling: Replaced by td5_render.c text quad rendering using TGA glyph atlases; port uses LightDraw/DrawString equivalents. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10006bf0","DXDraw::PrintTGA","Blit a TGA from file path to a specific surface region — used for static splash/loading screens. | port-side handling: Replaced by td5_asset.c TGA decode + ddraw_wrapper blit; td5_fmv.c FMV stub uses this pattern. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x10006ee0","DXDraw::GammaControl","Adjust display gamma via IDirectDrawGammaControl::SetGammaRamp. | port-side handling: Not ported; D3D11 doesn't expose direct gamma ramp API. Port uses default monitor gamma. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10006fe0","DXDraw::Flip","Present front buffer — IDirectDrawSurface::Flip() with vsync gate. | port-side handling: ddraw_wrapper present (DXGI swap chain Present); td5_game.c:737 + td5_fmv.c:29. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x100076d0","DXDraw::ClearBuffers","Blit-clear front and back buffers to black (game uses on mode change). | port-side handling: ddraw_wrapper clear; D3D11 ClearRenderTargetView. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10007850","DXDraw::GetDDSurfaceDesc","Lock a surface and return DDSURFACEDESC2 (pitch, pixel format, locked pointer). | port-side handling: ddraw_wrapper exposes equivalent Lock/Unlock for software-rasterized HUD text + frontend buttons (td5_frontend.c). | Wave3-O1A 2026-05-22","W1D","high"
"0x10008710","DXDraw::CreateDDSurface","Create an offscreen DirectDraw surface — used for sprite caches and back buffers. | port-side handling: ddraw_wrapper CreateSurface (mapped to D3D11 staging texture or sysmem buffer). | Wave3-O1A 2026-05-22","W1D","high"
"0x10008960","DXDraw::CreateSurfaces","Build the standard primary+back+back chain at startup. | port-side handling: ddraw_wrapper sets up DXGI swap chain in Backend_CreateDevice. | Wave3-O1A 2026-05-22","W1D","high"
"0x10008df0","DXDraw::DestroySurfaces","Release all created DDraw surfaces. | port-side handling: ddraw_wrapper teardown. | Wave3-O1A 2026-05-22","W1D","high"
"0x10009380","DXDraw::ConfirmDX6","Verify DX6+ runtime present — IDirectDraw4 QI on the DDraw object. | port-side handling: Replaced by D3D11 feature-level check in Backend_CreateDevice; td5_game.c:593,602. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x10009420","DXDraw::GetDDObject","Return the global IDirectDraw7 instance pointer. | port-side handling: Not exposed by port; D3D11 device used internally. | Wave3-O1A 2026-05-22","W1D","low"
"0x100094e0","DXInput::Environment","Zero DXInput state (JoystickC/JoystickButtonC/JoystickType globals + replay header). | port-side handling: td5_input.c init zeros equivalent port-side state. | Wave3-O1A 2026-05-22","W1D","high"
"0x10009490","DXInput::CheckKey","Check a single DIK scancode — returns non-zero if held this frame. | port-side handling: td5_frontend.c:8098,8124 confirms map to td5_plat_input_key_pressed(scancode). Used heavily by frontend. | Wave3-O1A 2026-05-22","INPUT,SRC","high"
"0x10009530","DXInput::Create","DirectInput8Create + EnumDevices + acquire keyboard/joystick/mouse. | port-side handling: td5_input.c init creates DI8 devices; port largely re-implements identical surface. | Wave3-O1A 2026-05-22","W1D,INPUT","high"
"0x100096c0","DXInput::Destroy","Unacquire + Release all DirectInput devices. | port-side handling: td5_input.c shutdown. | Wave3-O1A 2026-05-22","W1D","high"
"0x10009790","DXInput::GetMouse","Poll mouse: returns (x,y,buttons) DIMOUSESTATE. | port-side handling: td5_input.c poll wraps DI8 mouse poll; td5_frontend.c uses for cursor + menu clicks. | Wave3-O1A 2026-05-22","W1D,INPUT","high"
"0x100098d0","DXInput::Pause","Unacquire devices while game is inactive (WM_ACTIVATE FALSE). | port-side handling: td5_input.c unacquire on app focus loss. | Wave3-O1A 2026-05-22","W1D","medium"
"0x100098f0","DXInput::SetConfiguration","Apply control-binding shadow to runtime — first overload (config block ptr). | port-side handling: td5_input.c::td5_input_apply_config_shadow; td5re.ini [Controls] section drives this. | Wave3-O1A 2026-05-22","INPUT","high"
"0x10009af0","DXInput::SetConfiguration","Apply control-binding shadow to runtime — second overload (id + count form). | port-side handling: td5_input.c::td5_input_apply_config_shadow alt entry. | Wave3-O1A 2026-05-22","INPUT","medium"
"0x10009b00","DXInput::ResetConfiguration","Reset bindings to defaults — restores per-device DIK scancode tables. | port-side handling: td5_input.c::td5_input_reset_to_defaults. | Wave3-O1A 2026-05-22","W1D,INPUT","high"
"0x10009b10","DXInput::PlayEffect","Trigger a DirectInput8 force-feedback effect (1-arg overload). | port-side handling: ARCH-DIVERGENCE noted at td5_input.c:1586,1589,1631,1634 — port wraps td5_plat_ff_constant. Slot constants match orig. | Wave3-O1A 2026-05-22","INPUT,SRC","high"
"0x10009bb0","DXInput::PlayEffect","Trigger a DirectInput8 force-feedback effect (3-arg: jsidx, slot, magnitude, repeat). | port-side handling: td5_input.c::td5_input_play_ff_effect; magnitudes and slot indices match orig. | Wave3-O1A 2026-05-22","INPUT,SRC","high"
"0x10009c60","DXInput::StopEffects","Stop all DirectInput FFB effects on a joystick. | port-side handling: td5_input.c::td5_input_stop_all_ff_effects; called on race end. | Wave3-O1A 2026-05-22","INPUT","high"
"0x10009ca0","DXInput::SetEffect","Configure a single FFB effect (envelope, magnitude, direction). | port-side handling: td5_input.c::td5_input_set_ff_effect_params. | Wave3-O1A 2026-05-22","INPUT","high"
"0x10009d20","DXInput::EnumerateEffects","Enumerate the joystick's supported FFB effects — IDirectInputDevice8::EnumEffects. | port-side handling: td5_game.c:170 notes orig calls EnumerateEffects(jsidx, 3) for constant-force candidates; port queries via td5_plat_ff_query_capability. | Wave3-O1A 2026-05-22","INPUT,SRC","high"
"0x1000a1e0","DXInput::GetJS","Poll joystick — returns packed control-bits word (steering + buttons + analog X/Y). | port-side handling: td5_input.c poll + custom-mode pack table reproduced; bits documented in subsystems/replay-recording-system.md sec 'Input Bitmask'. | Wave3-O1A 2026-05-22","INPUT,REPLY","high"
"0x1000a400","DXInput::GetKBStick","Read keyboard arrow-keys + WASD as a virtual joystick — returns packed control-bits. | port-side handling: td5_input.c::td5_input_poll_kbstick mirrors the orig 4-direction + accel/brake bit-packing. | Wave3-O1A 2026-05-22","INPUT","high"
"0x1000a5c0","DXInput::GetKBCursorKey","Read arrow keys as discrete events for frontend cursor navigation (one-shot, repeats with delay). | port-side handling: td5_frontend.c uses td5_plat_input_key_pressed with manual repeat timer. | Wave3-O1A 2026-05-22","INPUT","high"
"0x10009450","DXInput::GetKB","Full keyboard state (256-byte DIK buffer) — IDirectInputDevice8::GetDeviceState. | port-side handling: td5_input.c::td5_input_poll_keyboard wraps DI8 GetDeviceState; same 256-key DIK table. | Wave3-O1A 2026-05-22","INPUT","high"
"0x1000a640","DXInput::WriteOpen","Open replay-record stream for a track index — resets frame cursor + entry count. | port-side handling: td5_input.c:1080 references; port has NO replay file output (only in-memory todo). [[todo-view-replay-restarts-race]]. | Wave3-O1A 2026-05-22","REPLY,W1D,SRC","high"
"0x1000a660","DXInput::Write","Append one frame to replay stream. Delta-encodes (frame_cursor,value) into entry table at 0x10033ba8 max 0x4e1c entries. param_2==1 strips bits 0x44000000 (camera+escape). | port-side handling: td5_input.c:1081 references; port writes to memory-only ring then drops on race ... | Wave3-O1A 2026-05-22","REPLY,W1D,SRC","high"
"0x1000a740","DXInput::WriteClose","Finalize replay stream — store lastFrameIndex = frameCursor-1. | port-side handling: td5_input.c:1082 stub; port doesn't persist replay. | Wave3-O1A 2026-05-22","REPLY,SRC","high"
"0x1000a760","DXInput::ReadOpen","Open replay-playback stream — reset readIndex to 2 (skip initial-state entries). | port-side handling: td5_input.c:1223 stub; port has no replay playback. Closes [[todo-view-replay-restarts-race]] when implemented. | Wave3-O1A 2026-05-22","REPLY,W1D,SRC","high"
"0x1000a780","DXInput::Read","Reconstruct one frame of input from delta stream — returns 0 when exhausted. | port-side handling: td5_input.c:1224 stub; port has no replay playback path. | Wave3-O1A 2026-05-22","REPLY,W1D,SRC","high"
"0x1000a840","DXInput::GetString","Read a string of buffered key events for text input (player-name entry). | port-side handling: td5_input.c::td5_input_read_string used by frontend name-entry dialogs; td5_frontend.c session-name + player-name. | Wave3-O1A 2026-05-22","INPUT","high"
"0x1000aac0","DXInput::SetAnsi","Enable buffered ANSI keystroke mode (for chat / text input). | port-side handling: td5_input.c::td5_input_set_ansi_mode; pairs with GetAnsiKey/GetString. | Wave3-O1A 2026-05-22","INPUT","medium"
"0x1000aaf0","DXInput::GetAnsiKey","Read next buffered ANSI keystroke (returns 0 if none). | port-side handling: td5_input.c::td5_input_get_ansi_key; used by chat input + name-entry. | Wave3-O1A 2026-05-22","INPUT","medium"
"0x1000ab20","DXPlay::Environment","Zero DXPlay state (dpu block + sync globals + ring buffers). | port-side handling: td5_net.c:1653 mirrors DXPlay::Environment+Create. | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000ab50","DXPlay::Create","CoCreateInstance(CLSID_DirectPlay, IID_IDirectPlay4A) + start worker thread + create 4 events. | port-side handling: td5_net.c:1653 mirrors via td5_net_init; port has NO live DirectPlay (stub). ARCH-DIVERGENCE: protocol wire-incompatible. | Wave3-O1A 2026-05-22","NETMP,ARCH,SRC","high"
"0x1000abd0","DXPlay::Destroy","ShutdownDirectPlayWorker -> close events + release IDirectPlay4A. | port-side handling: td5_net.c:1729 mirrors; port stub. | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000ac00","DXPlay::ConnectionEnumerate","IDP4::EnumConnections — list TCP/IP, IPX, modem, serial service providers. | port-side handling: td5_net.c:2197 mirrors; port stub (returns empty list). | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000add0","DXPlay::ConnectionPick","IDP4::InitializeConnection(spIndex) + start 3s session-enum timer. | port-side handling: td5_net.c:2212 mirrors; port stub. | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000aed0","DXPlay::NewSession","Host: IDP4::Open(DPOPEN_CREATE) + CreatePlayer + RefreshCurrentSessionRoster. dwUser2=seed=timeGetTime(). | port-side handling: td5_net.c:1839 mirrors; port stub. Session descriptor docs in subsystems/network-multiplayer-protocol.md sec 6.1. | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000b0d0","DXPlay::JoinSession","Client: IDP4::Open(DPOPEN_JOIN) on enumerated GUID + CreatePlayer + RefreshCurrentSessionRoster. | port-side handling: td5_net.c:1906 mirrors; port stub. | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000b2a0","DXPlay::SendMessageA","DXPTYPE dispatch. case 1/3=DAT_1005b158 small; case 2/8=outbound payload; case 4=ack-tracked broadcast (g_directPlayExpectedAckCount); case 10=ack-tracked global. Lockstep barrier driver. | port-side handling: td5_net.c:2257 mirrors. ARCH-DIVERGENCE: port flattens to 13 top... | Wave3-O1A 2026-05-22","NETMP,W1D,ARCH,SRC","high"
"0x1000b580","DXPlay::ReceiveMessage","Dequeue from 16-entry ring buffer — returns (type, data*, size). Drained by HandleDirectPlayAppMessage on worker thread. | port-side handling: td5_net.c:2405 mirrors; ARCH-DIVERGENCE: port ring buffer layout differs. | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000b680","DXPlay::HandlePadHost","Per-frame HOST sync: collect all clients' DXPFRAME inputs (20s timeout on FrameAckEvent), merge into controlBits[0..5], broadcast type-0 DXPFRAME (0x80 bytes), increment syncSequence. | port-side handling: Not ported. Port has no per-frame replication — racing is single-mac... | Wave3-O1A 2026-05-22","NETMP,W1D","high"
"0x1000b8b0","DXPlay::HandlePadClient","Per-frame CLIENT sync: send local controlBits as DXPFRAME to host, block 20s on FrameAckEvent for host broadcast, then unpack merged controlBits + frameDt + syncSequence. | port-side handling: Not ported. Port single-machine only. | Wave3-O1A 2026-05-22","NETMP,W1D","high"
"0x1000bb40","DXPlay::EnumerateSessions","IDP4::EnumSessions(DPENUMSESSIONS_AVAILABLE) — cache up to 50 session GUIDs at DAT_1005DF54 (stride 0x10). | port-side handling: td5_net.c:2233 mirrors; port stub. | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000bc40","DXPlay::SealSession","SealSession(0)=open (flags=0x44), SealSession(1)=closed (flags=0x45 = DPSESSION_JOINDISABLED). Calls IDP4::SetSessionDesc. | port-side handling: td5_net.c:1962 mirrors; port stub. | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000bca0","DXPlay::EnumSessionTimer","SetTimer/KillTimer for periodic 3s session enumeration (timer ID = 1). | port-side handling: Not ported; port would use a polling loop instead. | Wave3-O1A 2026-05-22","NETMP","medium"
"0x1000bd00","DXPlay::UnSync","Clear g_isDirectPlaySyncActive flag — exit lockstep mode (called on race end / mode-switch). | port-side handling: td5_net.c:1976 mirrors orig 0x1000bd00; td5_game.c:713,719 references unsync at race end. | Wave3-O1A 2026-05-22","NETMP,SRC","high"
"0x1000cda0","DXSound::Environment","Zero DXSound state block (0x46F DWORDs from g_pDirectSound). Compute 16-entry log volume attenuation table. Set g_isSoundPanEnabled=1. Called once at DLL load. | port-side handling: td5_sound.c init does port-side equivalent for DSCBSOUND wrapper. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000ce30","DXSound::Create","DirectSoundCreate + SetCooperativeLevel(PRIORITY) + create primary buffer (DSBCAPS_PRIMARYBUFFER|CTRLVOLUME) + start primary looping + InitializeCDAudioBackendFromInstallSource. | port-side handling: td5_sound.c::td5_sound_init wraps DSCBSOUND; CD audio backend not ported (... | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000cfd0","DXSound::Destroy","Stop stream, remove all 44 base slots + duplicates, release primary buffer + IDirectSound. | port-side handling: td5_sound.c::td5_sound_shutdown. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000d070","DXSound::GetDSObject","Return global IDirectSound pointer (for advanced consumers). | port-side handling: Not exposed by port. | Wave3-O1A 2026-05-22","SOUND","low"
"0x1000d090","DXSound::SetPlayback","Set primary buffer playback format (samples/sec, bits, channels) via IDirectSoundBuffer::SetFormat. | port-side handling: td5_sound.c uses fixed 22050Hz 16-bit stereo primary, matching orig default. | Wave3-O1A 2026-05-22","SOUND","medium"
"0x1000d0a0","DXSound::Load","Load WAV from file into a sound slot (3-arg: file, slot, loopFlag) — delegates to 4-arg with nDuplicates=1. | port-side handling: td5_sound.c::td5_sound_load_wav_file; loads from extracted re/assets/sound/*.wav. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000d0c0","DXSound::Load","Load WAV from file with N duplicate buffers for polyphony (4-arg). | port-side handling: Slot-duplicate fan-out NOT modeled in port (W1D highest-value #5). Engine SFX may sound choppy. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000d240","DXSound::LoadBuffer","Load WAV from in-memory buffer (3-arg: buffer, slot, loopFlag). Primary path used by EXE (ZIP-extracted WAVs). | port-side handling: td5_sound.c::td5_sound_load_wav_buffer reads from re/assets/sound/*.zip extracted blobs. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000d260","DXSound::LoadBuffer","Load WAV from buffer with N duplicate clones for polyphony (4-arg). | port-side handling: Polyphonic cloning not modeled in port (W1D #5). | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000d370","DXSound::LoadComplete","No-op stub returning 1. Shares VA with DXInput::ReadClose. Pipeline-sync hook never implemented. | port-side handling: td5_input.c:1335 mirrors as a no-op for ReadClose. | Wave3-O1A 2026-05-22","SOUND,REPLY,SRC","medium"
"0x1000d380","DXSound::Play","Play a sound slot. If already playing + duplicates exist, walks linked list for non-playing clone. Returns status+1 as play-handle. | port-side handling: td5_sound.c::td5_sound_play_simple; td5_frontend.c:8142,9153,9154,9268 use for menu SFX. W1D #5 follow-up. | Wave3-O1A 2026-05-22","SOUND,W1D,SRC","high"
"0x1000d470","DXSound::Play","Parameterized play (slot, volIndex, frequency, pan). Stops + restarts + sets volume from g_soundVolumeAttenuationTable[volIndex]. | port-side handling: td5_sound.c::td5_sound_play_params; per-actor engine sounds + frontend. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000d560","DXSound::ModifyOveride","Update vol/freq/pan on an active play-handle, IGNORING g_isSoundMuted. Used for in-options preview (horn test). | port-side handling: td5_sound.c::td5_sound_modify_override. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000d5f0","DXSound::Modify","Update vol/freq/pan on a play-handle, RESPECTING g_isSoundMuted (volume gated). Standard per-frame engine sound update. | port-side handling: td5_sound.c::td5_sound_modify; called per-actor from td5_sound update loop. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000d690","DXSound::Remove","Release buffer at slot + walk duplicate linked list releasing all clones. | port-side handling: ARCH-DIVERGENCE noted at td5_sound.c:337 — port maps to td5_plat_audio. | Wave3-O1A 2026-05-22","SOUND,SRC","high"
"0x1000d730","DXSound::Stop","IDirectSoundBuffer::Stop on a play-handle + reset cursor. | port-side handling: td5_sound.c::td5_sound_stop. ARCH-DIVERGENCE noted at td5_sound.c:337. | Wave3-O1A 2026-05-22","SOUND,SRC","high"
"0x1000d770","DXSound::Status","Return DSBSTATUS for a play-handle (BUFFERLOST | PLAYING | LOOPING | LOCKED). | port-side handling: td5_sound.c::td5_sound_status; td5_sound queries before re-trigger. | Wave3-O1A 2026-05-22","SOUND","high"
"0x1000d7c0","DXSound::MuteAll","Set g_isSoundMuted=1 — subsequent Play/Modify skip volume writes. td5_input.c:424 references for race-end fade. | port-side handling: td5_sound.c::td5_sound_mute_all. | Wave3-O1A 2026-05-22","SOUND,SRC","high"
"0x1000d800","DXSound::UnMuteAll","Clear g_isSoundMuted=0 — restore audio. | port-side handling: td5_sound.c::td5_sound_unmute_all. | Wave3-O1A 2026-05-22","SOUND","high"
"0x1000d850","DXSound::SetVolume","Set master SFX volume — indexes g_soundVolumeAttenuationTable[raw>>9] and applies to primary buffer. | port-side handling: td5_game.c:2600 + td5_hud.c:986,987 confirm slider2 'SOUND' (DAT_004B1364) maps to DXSound::SetVolume(frac*0xFFFF). | Wave3-O1A 2026-05-22","SOUND,SRC","high"
"0x1000d890","DXSound::GetVolume","Return current master SFX volume (raw 0-65535). | port-side handling: td5_sound.c::td5_sound_get_volume. | Wave3-O1A 2026-05-22","SOUND","high"
"0x1000d8a0","DXSound::CDPlay","Begin CD audio track playback via MCI or g_pCDAudioBackend vtable. Pairs with td5_frontend.c:8256 (orig 0x41864E confirmed). | port-side handling: td5_sound.c CD path STUBBED (silent); music tracks not implemented. ARCH-DIVERGENCE: backend interface unknown. W1D #4 follow-up. | Wave3-O1A 2026-05-22","SOUND,W1D,SRC","high"
"0x1000dae0","DXSound::CDStop","Stop CD audio playback. | port-side handling: td5_sound.c CD stub. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000dc10","DXSound::CDReplay","Replay current CD track from start (NB: NOT input replay — 'play same track again'). | port-side handling: td5_sound.c CD stub. Naming collision flagged in W1D #4. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000dc30","DXSound::CDSetVolume","Set CD audio volume (raw 0-65535). | port-side handling: td5_game.c:2599 + td5_hud.c:986 confirm slider1 'MUSIC' (DAT_004B1360) maps to DXSound::CDSetVolume(frac*0xFFFF). Port maps to silent stub. | Wave3-O1A 2026-05-22","SOUND,SRC","high"
"0x1000dcc0","DXSound::CDGetVolume","Return current CD audio volume. | port-side handling: td5_sound.c CD stub. | Wave3-O1A 2026-05-22","SOUND","high"
"0x1000dcd0","DXSound::CDPause","Pause CD audio playback. | port-side handling: td5_sound.c CD stub. | Wave3-O1A 2026-05-22","SOUND","medium"
"0x1000dd10","DXSound::CDResume","Resume paused CD audio. | port-side handling: td5_sound.c CD stub. | Wave3-O1A 2026-05-22","SOUND","medium"
"0x1000dd50","DXSound::PlayStream","Begin background WAV streaming (large file, not loaded fully into buffer). Used for ambient/music streams. | port-side handling: td5_sound.c streaming NOT implemented (gap per W1D). Honorable-mention follow-up. | Wave3-O1A 2026-05-22","SOUND,W1D","medium"
